"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Fe2","Fe2+","HMDB0000692","27284","29033","C14818",NA,"[Fe++]","1"
"Fe3","Iron","HMDB0015531","29936","29034","C14819",NA,"[Fe+3]","1"
"Na","Nalidixic Acid","HMDB0014917","4421","100147","C05079",NA,"CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2","1"
"Histidine","Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"Cysteine","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"4-Aminobutyrate","gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334",NA,"NCCCC(O)=O","1"
"Homocarnosine","Homocarnosine","HMDB0000745","10243361","85981","C00884","270","NCCCC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"beta-Alanine","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"Carnosine","Carnosine","HMDB0000033","439224","15727","C00386","38","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"Ubiquinol","Ubiquinol 8","HMDB0001060","25074411","61682","C00390","5974","COC1=C(OC)C(O)=C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C(C)=C1O","1"
"Ubiquinone","Coenzyme Q10","HMDB0001072","5281915","46245","C11378","5983","COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O","1"
"Dihydrofolate","Dihydrofolic acid","HMDB0001056","98792","15633","C00415","5970","NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2)N1","1"
"Serine","Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"7alpha-Hydroxycholest-4-en-3-one","7a-Hydroxy-cholestene-3-one","HMDB0001993","123743","17899","C05455","6419","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)CC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"7alpha,12alpha-Dihydroxycholest-4-en-3-one","7alpha,12alpha-Dihydroxycholest-4-en-3-one","HMDB0247407","5118592",NA,NA,NA,"CC(C)CCCC(C)C1CCC2C3C(O)CC4=CC(=O)CCC4(C)C3CC(O)C12C","1"
"Threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"(2E)-Dodecenoyl-CoA","(2E)-Dodecenoyl-CoA","HMDB0003712","5165851","57330","C03221",NA,"CCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","1"
"Lauroyl-CoA","Lauroyl-CoA","HMDB0003571","165436","15521","C01832","6959","CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","1"
"Myristoyl-CoA","Tetradecanoyl-CoA","HMDB0001521","65113","15532","C02593","3707","CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","1"
"(2E)-Tetradecenoyl-CoA","(2E)-Tetradecenoyl-CoA","HMDB0003946","5280767","27721","C05273",NA,"CCCCCCCCCCC\C=C\C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","1"
